j,dist
46670,1.2217798882461934
46671,1.22204952434199
58981,1.2221106217483695
56077,1.2221148379453617
37358,1.222133659480226
16634,1.222147550920077
37359,1.222195961885266
1522,1.2222209128480794
5454,1.2222812481478214
21585,1.2222818244565818
56076,1.2225101047118152
36448,1.22254623498309
1523,1.2226147769514837
36449,1.222982222338535
15540,1.2229960012119991
5455,1.2230645800231006
33691,1.223216529018771
15541,1.2232384663188565
9562,1.2233664002694802
19802,1.2235657057555198
9563,1.2236030599779866
52601,1.2236779901915367
19803,1.2237250627771685
9958,1.2237550818674727
64177,1.223815889532289
56079,1.223822879176203
9959,1.2239310142322193
56078,1.2239764145470775
26729,1.224021867805989
52600,1.224030581001934
41391,1.2242071420086256
64176,1.2243441444378713
26727,1.2243518522300074
41390,1.224509787217459
1297,1.2247022778371657
68774,1.2248569191841245
68772,1.2248663069988661
68773,1.2249543668179754
26726,1.2251870912873766
68775,1.225539548857969
39466,1.2257541427986167
66398,1.2257732951329845
66399,1.2257759169480886
19417,1.225812200051249
45809,1.2261795191800178
17380,1.226290942585891
19416,1.2263788521943912
69616,1.2264354083947822
5336,1.2265186196714821
5009,1.2265234435491372
20315,1.2265851451999978
45808,1.2266011684579265
20314,1.2266164694587427
9560,1.2266799798051398
67267,1.2268652902409143
9561,1.2269982791017022
68954,1.2270866235308469
17381,1.227212313675487
9952,1.2272468343835234
68955,1.2272910700656838
66289,1.2272925336235372
20504,1.2273896973741623
20505,1.2274618741741898
67266,1.2275877719000814
49145,1.2276446503519352
51475,1.2278238950437976
49144,1.227896695285864
45800,1.2279044083484483
1525,1.228308533476953
35739,1.22835325376656
1524,1.228442524990889
45001,1.2284678977734391
45000,1.2284843434732187
10351,1.2285296415476392
51474,1.228720603349933
3804,1.2288358335140817
42115,1.22883854165299
10350,1.2289402042541262
58385,1.2289549067061654
25862,1.2290008096404386
58384,1.22901397288903
3805,1.2291533807559014
42114,1.2291537854180024
18456,1.229168149272024
69577,1.2294490601459385
25863,1.229518695605958
26738,1.2295626149360208
18454,1.229657507669652
20190,1.2296918969122492
69576,1.229863548714868
20191,1.229908749103173
18457,1.2299162749959909
15286,1.2300181469223725
2537,1.2300641008896207
18455,1.2301513569661051
9524,1.2301708538992617
46231,1.2302798746199044
46230,1.2303219677471455
2536,1.230355506728424
52036,1.2303849263108824
60183,1.23049231653544
60182,1.2308766306119883
15287,1.2309196634317017
37216,1.231084543214816
69779,1.2311341228668338
26200,1.2312287924816705
5786,1.231535067433209
5787,1.2315834761337274
42831,1.231594186565149
19804,1.2317328480185252
42302,1.2317329727831674
56362,1.2317498035613892
42311,1.2318455469685552
19805,1.2319060743892731
42303,1.2320076222187464
7578,1.2322682090549688
42310,1.232330529011313
71946,1.2324525165214733
62926,1.2324750875721924
39136,1.232624478470035
46666,1.2326523034676564
71947,1.2328181227051827
17467,1.2328319807422718
1839,1.2328431017663377
17474,1.232846161785093
25856,1.233072971167608
11204,1.2332157414100782
39137,1.2332482779343081
69776,1.2333984337538657
24926,1.2334510628130373
42299,1.2334715438437955
67070,1.23350714869912
70221,1.2335186851872642
42298,1.2335403552398532
18452,1.233549479892889
46390,1.2335587021589054
29885,1.2335681734344626
36777,1.2335898503918934
24927,1.2335941397871104
17475,1.2336018489775502
57523,1.2336192692595436
1847,1.2337712375877283
42366,1.233782702180092
54481,1.2338097490231847
46391,1.2338099470313082
29102,1.2338641671191817
42367,1.234040250048003
27838,1.234086993939288
5801,1.234235962175324
27839,1.234362801739156
70220,1.2343946090685216
37222,1.234455437381574
19175,1.2344618299648284
56082,1.2344719429678213
26195,1.2345176552208992
36776,1.234593854450052
69012,1.2346362517992049
54480,1.234732687703936
1846,1.23476219670875
69013,1.2347964492795769
26194,1.2348142238381368
56083,1.234962545775024
29103,1.2350000238363297
19174,1.2350774607036616
67670,1.2352347362568117
55468,1.2352483473130251
15753,1.2354480195123652
64990,1.2354600992206823
15615,1.2355075570888363
